,Crew
1272,Laura Kasischke
1273,Daniel Filho
1274,Bruce Moriarty
1275,Sam Firstenberg
1276,Nicholas Tabarrok
1277,Ray Angelic
1278,Kenneth Johnson
1279,Hutch Parker
1280,Christian Colson
1281,Ed Decter
1282,Eric Valette
1283,David Slade
1284,Erich Hoeber
1285,Julia Phillips
1286,Steven Brill
1287,Oliver Obst
1288,Michael McGowan
1289,Eric Reid
1290,Carole Whang Schutter
1291,Charles E. Alston
1292,Greg Tiernan
1293,Hilary Henkin
1294,Robert Engelman
1295,Steve Koren
1296,Cathleen Sutherland
1297,Rawson Marshall Thurber
1298,Paul Verhoeven
1299,Dave Borthwick
1300,James Cox
1301,Karen Glasser
1302,Rhonda Tollefson
1303,Nansun Shi
1304,Guillaume Ivernel
1305,Torleif Hauge
1306,Kevin De La Noy
1307,Mabrouk El Mechri
1308,Stephanie Langhoff
1309,Bart Brown
1310,Helen Robin
1311,Michael Birnbaum
1312,Andrew Erwin
1313,Alec Sulkin
1314,Joseph M. Caracciolo Jr.
1315,Benedikt Erlingsson
1316,Michael Anderson
1317,Rodrigo Cortés
1318,Betty Thomas
1319,Richard Barton Lewis
1320,Mark Wahlberg
1321,Zilong Guo
1322,Peter Chernin
1323,T.D. Jakes
1324,John Lafia
1325,Garry Shandling
1326,Stéphane Lecomte
1327,Mary Ann Tanedo
1328,David Gelb
1329,Richard Johns
1330,Mark Young
1331,Karen Murphy
1332,Alejandro Monteverde
1333,Jonathan Teplitzky
1334,Scott Alexander
1335,Richard Brooks
1336,Matt Summers
1337,Craig Pearce
1338,Ceán Chaffin
1339,Stephen McEveety
1340,George Clooney
1341,Fred Savage
1342,Peter Toumasis
1343,Christopher Gallo
1344,Fergal Reilly
1345,Colin Ossiander
1346,Nicholaus Goossen
1347,Ryan Fleck
1348,Michael A. Helfant
1349,Mikael Salomon
1350,Ehud Bleiberg
1351,Pietro Greppi
1352,Carolyn Pfeiffer
1353,John Pasquin
1354,Sarah Curtis
1355,Ariel Zeitoun
1356,Harmon Kaslow
1357,Moshe Diamant
1358,Miranda de Pencier
1359,Lu Chuan
1360,Tim Blake Nelson
1361,J.B. Rogers
1362,Mark De Pace
1363,Andre Harrell
1364,James B. Kang
1365,K.C. Hodenfield
1366,David Koepp
1367,Nick Antosca
1368,Thomas Mimms
1369,Felix Vossen
1370,Jake Abraham
1371,Alicia Van Couvering
1372,Joby Harold
1373,Richard Shepard
1374,Matt Moore
1375,Ayan Mukherjee
1376,John Frankenheimer
1377,Willi Bär
1378,Kris Thykier
1379,Paul Webb
1380,Michał Waszyński
1381,Alexis Alexanian
1382,Robert Hickman
1383,David Winkler
1384,Lorenzo P. Lampthwait
1385,Bob Odenkirk
1386,Ralph Fiennes
1387,Richard Lederer
1388,Chris Lofing
1389,Christopher McQuarrie
1390,Gail Katz
1391,Maria Maggenti
1392,Adriana Rotaru
1393,Gary Dauberman
1394,Kim Roth
1395,Jimmy Miller
1396,Jonathan Craven
1397,Kirsten Smith
1398,Michèle Ray-Gavras
1399,Andy Harries
1400,Roberto A. Quezada
1401,Jeffrey Silver
1402,Steve James
1403,Tom Drumm
1404,Michael J. Pagan
1405,Miguel Asensio
1406,James Watkins
1407,Rick Bieber
1408,Brian Witten
1409,Stephen L'Heureux
1410,Scott Lobdell
1411,Kees Kasander
1412,Julian Ludwig
1413,Mathieu Amalric
1414,Lorenzo di Bonaventura
1415,Jules Bricken
1416,Marius A. Markevicius
1417,Ciaran Foy
1418,Genevieve Hofmeyr
1419,Grace Loh
1420,David Madden
1421,Leigh Whannell
1422,Robert Kessel
1423,Anthony Rhulen
1424,Rafa Lara
1425,Eric Aronson
1426,Kent Alterman
1427,Gina Prince-Bythewood
1428,Hannah Leader
1429,Michael Spierig
1430,Brian Goldner
1431,Tadeo Garcia
1432,Ryan Scafuro
1433,Adam Siegel
1434,Catherine Gund
1435,Denise Robert
1436,Eric Tsang
1437,David B. Householter
1438,Davis Coombe
1439,Emma Freud
1440,Raymond De Felitta
1441,Paul Harris Boardman
1442,Shari Springer Berman
1443,Joe Roth
1444,Jonathan van Tulleken
1445,Freddie Fields
1446,Anton Melnik
1447,Alan Rudolph
1448,Tim Perell
1449,Fenton Bailey
1450,Arthur Rosson
1451,Mike Disa
1452,Aimée Peyronnet
1453,Kristin Rizzo
1454,Steven Soderbergh
1455,Shyam Madiraju
1456,Ryan Murphy
1457,Teddy Zee
1458,Ash R. Shah
1459,Erin Stam
1460,Hamish McAlpine
1461,Stephen Hillenburg
1462,Dale Pollock
1463,Jonathan Bross
1464,Whit Stillman
1465,Joshua Sternin
1466,Shelby Stone
1467,R.J. Cutler
1468,Damon Lee
1469,Roderick Thorp
1470,André Rouleau
1471,Stephen Winter
1472,Edmund Goulding
1473,Warren Ellis
1474,Hamilton Luske
1475,François Sarano
1476,Katherine Dieckmann
1477,Aki Kaurismäki
1478,Marcus Gilbert
1479,John Calvert
1480,Robert Cavallo
1481,Lindsey Weber
1482,Ian Brennan
1483,Flora Fernandez-Marengo
1484,Dennis Hopper
1485,Chica Benadava
1486,Jane Fleming
1487,Shérazade Khalladi
1488,Stan Winston
1489,Mark Christopher
1490,Lew Grade
1491,Loretha C. Jones
1492,Forest Whitaker
1493,Xan Hopcraft
1494,Robert Moresco
1495,Brian De Palma
1496,John Roberdeau
1497,Paul Tennis
1498,Li Zhou
1499,Jason Pagan
1500,Paul Rudish
1501,Agustín Díaz Yanes
1502,Tomm Moore
1503,Kate Solomon
1504,Liz Dean
1505,Paul Watters
1506,Susan McMartin
1507,Irving Berlin
1508,Kathleen Glynn
1509,Louise Vesth
1510,Peter Block
1511,Ethan Reiff
1512,Mike Judge
1513,Stephen Tenenbaum
1514,Grant Hill
1515,Scott Mosier
1516,Vibeke Windeløv
1517,M. Night Shyamalan
1518,Shane Black
1519,Daniel Farrands
1520,Molly Hassell
1521,Miranda July
1522,Frank Miller
1523,Qiang Zhang
1524,Sarah Maur Thorp
1525,Robert Towne
1526,Philip Kaufman
1527,Jon Gunn
1528,Michael Steinberg
1529,Lawrence Turman
1530,Lajos Koltai
1531,Ken Halsband
1532,Chris Lee
1533,Michael Frislev
1534,Marc Behm
1535,Richard Holmes
1536,Belén Atienza
1537,Jean-Marc Vallée
1538,Gareth Wiley
1539,Robert King
1540,Jennifer Flackett
1541,Cory Neal
1542,Jeta Amata
1543,Keegan-Michael Key
1544,Vladimir Moiseyenko
1545,Jon Erwin 
1546,Michael Martin
1547,Arie Posin
1548,Peter Veverka
1549,Robert Markovich
1550,Robert Bentley
1551,Agnieszka Holland
1552,Arnold H. Orgolini
1553,Ted Field
1554,Matthew O'Toole
1555,Joaquin Phoenix
1556,Sam Zvibleman
1557,Steven Shareshian
1558,Mark Gibson
1559,Matt Cook
1560,Paul O'Kane
1561,Brady Corbet
1562,Rodrigo García
1563,Robert Michael Geisler
1564,Tony Thomas
1565,Seth Meyers
1566,Josh Boone
1567,Todd Farmer
1568,Karen McCullah Lutz
1569,Ole Søndberg
1570,Share Stallings
1571,Andy Cadiff
1572,Patricia Riggen
1573,Amar'e Stoudemire
1574,Jason Hall
1575,Ralph Schwingel
1576,Barry Spikings
1577,Tommy Lee Jones
1578,Justin Kelly
1579,David L. Wolper
1580,Barbara Kelly
1581,Choi Yong-bae
1582,Heidi Murkoff
1583,Andrew Miano
1584,Richard N. Gladstein
1585,Norma Heyman
1586,Alex Smith
1587,James Vanderbilt
1588,Laila Nabulsi
1589,Michael O. Sajbel
1590,James Marsh
1591,Lowell Dubrinsky
1592,Russell Crowe
1593,Bob Hoskins
1594,Robert Rehme
1595,Daniel Algrant
1596,Sanaa Hamri
1597,Monica Lago-Kaytis
1598,Doug Johnson
1599,Peter Spierig
1600,Paul Shoulberg
1601,Matthew Bright
1602,Stephen Nemeth
1603,Nora Ephron
1604,John McDonnell
1605,David Veloz
1606,Kenneth Utt
1607,Chris Wyatt
1608,Samuel Armstrong
1609,Oren Peli
1610,Gareth Upton
1611,Todd Jones
1612,Achille Manzotti
1613,Robert Crawford Jr.
1614,Ethan Canin
1615,Meredith Zamsky
1616,Nicolas Bonilauri
1617,Michael A. Pierce
1618,Suzanne McNeill Farwell
1619,Michael Stipe
1620,Michael Uslan
1621,Hitoshi Matsumoto
1622,Edward Conna
1623,Daniel M. Berger
1624,David Rubin
1625,Ron Shelton
1626,Nick Stagliano
1627,John Herzfeld
1628,Brent Goldberg
1629,Russell Streiner
1630,Chris Auty
1631,Beeban Kidron
1632,Regardt van den Bergh
1633,Liam O'Donnell
1634,Michael Kinirons
1635,Alan Greenspan
1636,Rebecca Miller
1637,Paul Fierlinger
1638,Gerald Cuesta
1639,Christopher Doyle
1640,Greg Carter
1641,Gene Quintano
1642,Louise Rosner-Meyer
1643,Lisa Bruce
1644,Tina Gordon Chism
1645,Eli Bush
1646,Lee Unkrich
1647,Laurie Webb
1648,Van Ling
1649,Vince Jolivette
1650,Nicole Eastman
1651,Cecil B. DeMille
1652,Anna Muylaert
1653,Russell Holt
1654,Jo Burn
1655,Andrey Zvyagintsev
1656,Rita Merson
1657,Gregory Peck
1658,John Nordling
1659,Malia Scotch Marmo
1660,Marvin Worth
1661,Sadyk Sher-Niyaz
1662,Bruce MacDonald
1663,Juraj Jakubisko
1664,Eric Lavaine
1665,Alan Shapiro
1666,Joey Lauren Adams
1667,Keith Redmon
1668,Winship Cook
1669,Joseph Abrams
1670,Gregory Poirier
1671,Franck Khalfoun
1672,Elizabeth Cantillon
1673,Kathryn Scola
1674,"George Tillman, Jr."
1675,Manuela Stehr
1676,Roman Polanski
1677,Marc F. Adler
1678,Nick Gomez
1679,John Pogue
1680,Dena Seidel
1681,Mike Lobell
1682,Adam Merims
1683,Katherine Brooks
1684,Chris Henchy
1685,Graham Leader
1686,Gary Goetzman
1687,Sigurjón Sighvatsson
1688,A L Katz
1689,Ned Lott
1690,David Weisberg
1691,Fletcher Markle
1692,Jon M. Chu
1693,John G. Avildsen
1694,Stuart Cornfeld
1695,Fernando Meirelles
1696,Jiří Menzel
1697,Ken Mok
1698,Marvin Minoff
1699,Gareth Unwin
1700,John Woo
1701,Allan Dwan
1702,Deepa Mehta
1703,Mikael Håfström
1704,Don Hahn
1705,Win Sheridan
1706,Trent Othick
1707,Jesse Armstrong
1708,Michael Bregman
1709,Maura O'Connell
1710,Michael Winterbottom
1711,Georgina Pope
1712,Gary Nelson
1713,Ellen Barkin
1714,Zachary Matz
1715,James Foley
1716,Mark Johnson
1717,Harald Zwart
1718,James Bidgood
1719,Claude Brulé
1720,Ron Yerxa
1721,Roland Joffé
1722,Michael G. Nathanson
1723,Marc Hansell
1724,Christopher Khai
1725,Rupert Jermyn
1726,Dominique Séguin
1727,Scott Foley
1728,Adam Prince
1729,Melanie Brown
1730,Rachel Talalay
1731,Edwin H. Knopf
1732,Stephen Frears
1733,Ali Bell
1734,George Richards
1735,Danny Lerner
1736,Chris Romano
1737,Brian Levant
1738,Irwin Yablans
1739,Haruyo Kanesaku
1740,Doug Liman
1741,Brent Barclay
1742,Nicola Pearcey
1743,Henry Jaglom
1744,Paula Mazur
1745,Frank E. Woods
1746,Brad Silberling
1747,Jonathan Aibel
1748,Jimmy Iovine
1749,S. S. Wilson
1750,Adam Shulman
1751,Eli Roth
1752,Tom Reeve
1753,Frédéric Forestier
1754,George Litto
1755,Ralph Etter
1756,Ian Collie
1757,Gary Kurtz
1758,Erica Westheimer
1759,Young-wuk Cho
1760,Brent Maddock
1761,Matthew Gross
1762,Michael C. Martin
1763,John McNaughton
1764,Justin Paul Miller
1765,John Carpenter
1766,Catherine Knapman
1767,Ben Howe
1768,Troy Miller
1769,Kim Ho-sung
1770,Kelly Reichardt
1771,Lisa Henson
1772,Steven Spielberg
1773,Michael Boughen
1774,Wes Ball
1775,Tim Chambers
1776,Neil Nightingale
1777,Rebecca Green
1778,Peter Chelsom
1779,Jim Burke
1780,Jean Duval
1781,Brad Grey
1782,Bernardo Bertolucci
1783,Peggy Rajski
1784,Cody Cameron
1785,Elliott Kastner
1786,Jeffrey Katzenberg
1787,Po Chu Chui
1788,Stanley O'Toole
1789,Corey Sienega
1790,Patricia Cardoso
1791,Penelope Spheeris
1792,Vincent Landay
1793,Robert Rossen
1794,Sam Englebardt
1795,Mike Scully
1796,Arianne Sutner
1797,Stu Zicherman
1798,David Sauers
1799,Sarah Gavron
1800,Martha Williamson
1801,Jim Fall
1802,Denise Di Novi
1803,James Dodson
1804,Carla Shelley
1805,Bill Badalato
1806,Christophe Cheysson
1807,John Davis
1808,Jane Kachmer
1809,Bryan Singer
1810,Craig Shilowich
1811,Colin Wilson
1812,Chris Viscardi
1813,Brandt Andersen
1814,John Kohn
1815,Sylvie Pialat
1816,John Ford
1817,Glen Morgan
1818,Jack Epps Jr.
1819,Katrina Wolfe
1820,Julie Durk
1821,Steve Viksten
1822,Fabrice Ziolkowski
1823,Stan Margulies
1824,Robin Gutch
1825,Charles Stone III
1826,Crane Wilbur
1827,Jillian Kugler
1828,Michael J. Bassett
1829,Bernd Eichinger
1830,Tarsem Singh
1831,Mogens Glad
1832,Paul Hanson
1833,David Ellison
1834,Andrew Deemer
1835,Stephen Anderson
1836,Bill Johnson
1837,Peter Cerbin
1838,Trent Cooper
1839,Scott Kramer
1840,Arjun Sablok
1841,Julio Caro
1842,Jerry Zaks
1843,Steve Miner
1844,Jay Levey
1845,Michael Kuhn
1846,Robert Eisele
1847,Jerry Bresler
1848,Bill Plympton
1849,Gabriel Friedman
1850,Gordon McLennan
1851,Harold Becker
1852,Frank E. Taylor
1853,Robert Lantos
1854,Pascal Hérold
1855,André Téchiné
1856,Doug Draizin
1857,Todd Williams
1858,David Mamet
1859,Jill Culton
1860,Brandon Baker
1861,Richard Montoya
1862,Teun Hilte
1863,Victoria Pearman
1864,Patrick Lussier
1865,Gilbert Adler
1866,Galen Walker
1867,Susan E. Novick
1868,Pamela Norris
1869,Reed Cowan
1870,Ambrose Roche
1871,Callan Brunker
1872,Eldar Rapaport
1873,Trey Parker
1874,James D. Stern
1875,Robert Zemeckis
1876,Don Carmody
1877,Chris Hanley
1878,Mark Rosman
1879,Michael Cunningham
1880,Jeremy Sosenko
1881,Malte Grunert
1882,Fyodor Bondarchuk
1883,Thomas K. Gray
1884,Thor Freudenthal
1885,Martha Coolidge
1886,Jim Van Wyck
1887,Shelly Clippard
1888,Fabiano Gullane
1889,Dan Schoffer
1890,Roy Thomas
1891,Queen Latifah
1892,Michael Bender
1893,Ben Karlin
1894,Kevin Macdonald
1895,Nicholas Fackler
1896,Michael Costigan
1897,Peter MacDonald
1898,Alan Edelstein
1899,Sandra Bullock
1900,James Wilson
1901,Lee Daniels
1902,Caio Gullane
1903,John Schultz
1904,Michael Fitzgerald
1905,Stephanie Allain
1906,Donald Rosenfeld
1907,John E. Bryant
1908,Jim Sonzero
1909,Michael Cohl
1910,Tommy O'Haver
1911,Jean-François Fonlupt
1912,Marcia Bennett
1913,Cassian Elwes
1914,Tony Goldwyn
1915,Tom Elkins
1916,Leslee Udwin
1917,Stefan Schwartz
1918,Sut Jhally
1919,Scott Mann
1920,Ulu Grosbard
1921,Anadil Hossain
1922,Philip Zlotorynski
1923,Tarquin Pack
1924,Gabriel Roth
1925,Andrew Knight
1926,Larry King
1927,Francis Delia
1928,Art Levinson
1929,Kevin Rodney Sullivan
1930,Jim Lemley
1931,Chen Kaige
1932,Toshio Masuda
1933,Ann Carli
1934,Jacob Aaron Estes
1935,Stephen Greene
1936,Rich Moore
1937,Amy Herman
1938,Peter K. Morrison
1939,Bert Schneider
1940,Second Chan
1941,Michael Herr
1942,Adam Folk
1943,Matt Leonetti
1944,Dete Meserve
1945,Thomas Bezucha
1946,Catherine Linstrum
1947,Howard Gertler
1948,Mati Raz
1949,Terry Robbins
1950,Andrew Wald
1951,Alessandro Camon
1952,Jérôme Maison
1953,Gary Gilbert
1954,Michael Gerbosi
1955,Brad J. Silverman
1956,Lena Dunham
1957,Bryan Schulz
1958,Mark Huffam
1959,Lee Anthony Smith
1960,David Heyman
1961,William Wisher Jr.
1962,Sean Anders
1963,Donna Gigliotti
1964,Lilly Wachowski
1965,Tracy Falco
1966,Mike Elliott
1967,Yoon Je-kyoon
1968,Dmitry Lesnevsky
1969,Louis DiGiaimo
1970,John Francis Daley
1971,D.J. Caruso
1972,Eduard Volodarskiy
1973,Neal Jimenez
1974,Daniel Louis
1975,Jeffrey W. Byrd
1976,Sam Mercer
1977,Huck Botko
1978,David Coatsworth
1979,Tyler Thompson
1980,Jack Rapke
1981,Frank Passingham
1982,Kenny Bates
1983,Peter Shapiro
1984,Duncan Henderson
1985,Matt Portenoy
1986,Siddharth Roy Kapur
1987,Isaac Florentine
1988,June Lee
1989,Zal Batmanglij
1990,Peter McCarthy
1991,Lori Tilkin
1992,Valeri Milev
1993,Derick Martini
1994,Gabriela Tagliavini
1995,Kevin Hageman
1996,Britney Spears
1997,Jim Issa
1998,Martin Kitrosser
1999,He Bing
2000,Demian Lichtenstein
2001,Alexa Faigen
2002,Matthew Peterman
2003,Lenny Abrahamson
2004,Florence Ayisi
2005,Brian Dorton
2006,Kevin Bray
2007,Peter Hewitt
2008,Polly Johnsen
2009,Will Canon
2010,Adam Sandler
2011,Roger Spottiswoode
2012,Mark Lazarus
2013,Harry Ratchford
2014,Eric Darnell
2015,Julie Lynn
2016,Breck Eisner
2017,Michael Sloan
2018,Deborah Jelin Newmyer
2019,Scott Mednick
2020,Caroline Van Iseghem
2021,Martin Ransohoff
2022,Steve Bencich
2023,David O'Brien
2024,Joel Schumacher
2025,Elizabeth Cuthrell
2026,James Keach
2027,David E. Kelley
2028,Andrew Napier
2029,Sam Weisman
2030,Tanner Beard
2031,Jerome Bixby
2032,Tim Zajaros
2033,Stephen M. Ryder
2034,James Whitaker
2035,Matthew Rhodes
2036,Roman Paul
2037,Guy Green
2038,Jerry Tokofsky
2039,Alfonso Cuarón
2040,Lubomir Feldek
2041,Kenny Moore
2042,Randall Miller
2043,Stuart Ortiz
2044,Susan Goforth
2045,Giovanni Agnelli
2046,Tripp Vinson
2047,Christian Alvart
2048,Phyllis Carlyle
2049,Matt Freeman
2050,Masaya Shibusawa
2051,Dolly Hall
2052,Daniel Backman
2053,Svyatoslav Ushakov
2054,Lauren Lazin
2055,Andrew Bujalski
2056,Richard Lester
2057,W.D. Hogan
2058,Marina Grasic
2059,Steve Conrad
2060,Steve Hickner
2061,Rick Friedberg
2062,Jonathan Demme
2063,Paolo Sorrentino
2064,Sue Corcoran
2065,Todd Garner
2066,Hou Hsiao-hsien
2067,JoAnn Perritano
2068,Denise Pinckley
2069,Tom McCarthy
2070,Ross Richie
2071,Stanley Donen
2072,Peter M. Cohen
2073,Mel Gibson
2074,Aaron Schneider
2075,David Robert Mitchell
2076,Olivier Delbosc
2077,David Schwimmer
2078,Alessandro Usai
2079,Susan Grossman
2080,Imogen Sutton
2081,Allan Steele
2082,Adriana Walsh
2083,Justin Berfield
2084,Jeff Sussman
2085,Geórgia Costa Araújo
2086,Stuart Beattie
2087,Laurent Gaudé
2088,Ryan Little
2089,Jonathan Mostow
2090,Zach Cregger
2091,Jason Pinardo
2092,Russell Friedenberg
2093,Donovan Cook
2094,Bruce Berman
2095,Joseph Farrell
2096,Vipul Amrutlal Shah
2097,Christian E. Christiansen
2098,Marisa Polvino
2099,Peter La Terriere
2100,Brad Luff
2101,James Mercel
2102,Mike McCoy
2103,Tushar Hiranandani
2104,Matt Manfredi
2105,Hoyt Yeatman
2106,Kenny Ortega
2107,Bonnie Hunt
2108,Stone Douglass
2109,Alison Savitch
2110,Christopher Meledandri
2111,Terry George
2112,Robin Williams
2113,Sindhu Rajasekaran
2114,Shinji Higuchi
2115,Amy Andelson
2116,Liv Ullmann
2117,Danny Strong
2118,Ben Sharpsteen
2119,Jamel Debbouze
2120,Wallace Wolodarsky
2121,Shane Dax Taylor
2122,Kurt Knight
2123,Ismail Merchant
2124,Katie Ford
2125,Lou Pitt
2126,Marjane Satrapi
2127,Ute Emmerich
2128,Izabella Miko
2129,Lili Fini Zanuck
2130,Shivaji Dasgupta
2131,John Fiedler
2132,Joshua Michael Stern
2133,Marcia Nasatir
2134,Jeremy Burdek
2135,Arash Amel
2136,Dan Trachtenberg
2137,David Rose
2138,Lawrence Kasdan
2139,Spencer Susser
2140,David Permut
2141,Michael Wadleigh
2142,Roy Conli
2143,Tim Herlihy
2144,Isabella Cocuzza
2145,Christopher Bertolini
2146,Tracy Brimm
2147,Cort Kristensen
2148,Lorene Scafaria
2149,Matthew Kaplan
2150,Jeff Clanagan
2151,David O. Sacks
2152,Lisa Weinstein
2153,Andrew Cosby
2154,Michael Skolnik
2155,Craig Perry
2156,Robert Daley
2157,Don Simpson
2158,John Solomon
2159,Carlo Ponti
2160,Raul Inglis
2161,Ramaa Mosley
2162,Michael Mayer
2163,Dmitry Guzeev
2164,Jonathan Oakes
2165,Ryan Smith
2166,Ian Fitzgibbon
2167,Dan St. Pierre
2168,Toby Jaffe
2169,Courtney Solomon
2170,Julius R. Nasso
2171,Joe Jenckes
2172,Polly Platt
2173,Debra Hill
2174,James Francis Trezza
2175,Ricardo Mestres
2176,Anatoly Maksimov
2177,Audrey Marrs
2178,Kent Bateman
2179,Jordan Cahan
2180,James Hetfield
2181,Tom Werner
2182,Clifford Werber
2183,Lone Scherfig
2184,Kurt Russell
2185,Wayne Beach
2186,Andrea Di Stefano
2187,Warren Zide
2188,Tracy Hotchner
2189,Marcos Martínez
2190,Timothy Silver
2191,Simon Kinberg
2192,Louis Leterrier
2193,Benedek Fliegauf
2194,Michael Fottrell
2195,Duke Sandefur
2196,Charles Kipps
2197,Mark Leyner
2198,Stan Lee
2199,Bruce Sharman
2200,Jet Li
2201,Caroline Wood
2202,Leonard Goldberg
2203,Miranda Bailey
2204,Mehdi Sayah
2205,Alice Dewey
2206,Richard Glatzer
2207,Kristine Belson
2208,Bill Unger
2209,Gail Egan
2210,Peter Lam
2211,Marcus Viscidi
2212,Michael Cowan
2213,Steve Pink
2214,Lis Kern
2215,Grégoire Vigneron
2216,Raynold Gideon
2217,Rachel Gardner
2218,David N. Weiss
2219,Jon Davison
2220,Clay Tarver
2221,Marco Cohen
2222,J.J. Abrams
2223,James Gorman
2224,Peter Bevan
2225,Dolph Lundgren
2226,Gianni Capaldi
2227,Adam Brooks
2228,Raci Şaşmaz
2229,Robert Mulligan
2230,Sunil Perkash
2231,Ingmar Bergman
2232,Benh Zeitlin
2233,Christopher Leitch
2234,Allan Zeman
2235,Connie Nartonis Thompson
2236,John M. Eckert
2237,Diarmuid McKeown
2238,Niv Fichman
2239,Mathieu Kassovitz
2240,Gia Walsh
2241,Damon Santostefano
2242,Marc Beauchamps
2243,Simon Beaufoy
2244,Lope V. Juban Jr.
2245,Benoît Jaubert
2246,David Wolthoff
2247,Tobin Armbrust
2248,Eddie Romero
2249,Clark L. Paylow
2250,Jafar Panahi
2251,Joana Vicente
2252,David Bergstein
2253,Neil Gaiman
2254,Luis Esteban	
2255,John Stockwell
2256,Errol Morris
2257,Martin G. Baker
2258,Jason Segel
2259,Michael Uwemedimo
2260,Rehya Young
2261,Michael Deeley
2262,Elizabeth Giamatti
2263,Jean Cazes
2264,Patrick Esposito
2265,Robert Evans
2266,Pedro Almodóvar
2267,Chris Collins
2268,Adam Milano
2269,David Fincher
2270,William Hill
2271,Guy Oseary
2272,Henry Luk
2273,Joseph Gordon-Levitt
2274,Lauren Hogarth
2275,Andrew Wight
2276,Christian Robinson
2277,Lauri Apelian
2278,Patrick Meaney
2279,Lawrence Grey
2280,Will Forte
2281,Jonas Elmer
2282,Zareh Nalbandian
2283,Janet Zucker
2284,Ari Folman
2285,Ronan Chapalain
2286,Andrew Fierberg
2287,Mark Allan
2288,Brett Leonard
2289,David F. Sandberg
2290,William Rexer
2291,Brandon Birtell
2292,Charles Busch
2293,Julie Fong
2294,Kurt Hale
2295,Alain Chabat
2296,Shawn Angelski
2297,Jerusha Hess
2298,Ruba Nadda
2299,Lana Wachowski
2300,Catherine Bailey
2301,Kinka Usher
2302,Wayne Wang
2303,Alex Johns
2304,Min-Woo Hyung
2305,Jeff Nathanson
2306,Nic Young
2307,Sofia Monroe
2308,Lauren Schnipper
2309,Oleg Stepchenko
2310,Thorbjørn Christoffersen
2311,Tim Heidecker
2312,Tom Seidman 
2313,Antonia Bird
2314,Justin Gordon
2315,Franck Chorot
2316,Harry Beaumont
2317,Camelia Frieberg
2318,Brad Wright
2319,Troy Duffy
2320,Dan Cutforth
2321,Harold Schneider
2322,Mark Sandrich
2323,David McNally
2324,Alfredo Ripstein hijo
2325,David Mandel
2326,Cathy Schulman
2327,Michael Shear
2328,Edmund Penney
2329,Yukie Kito
2330,Katie Roumel
2331,Gabriel Grunfeld
2332,Kenzo Tsujimoto
2333,Robert Lorenz
2334,Stephen Daldry
2335,Grace Gilroy
2336,Jonathan Liebesman
2337,Andrew J. Cohen
2338,Sam Mendes
2339,Henry Winterstern
2340,Burt Shevelove
2341,Robbie Brenner
2342,Michael Bittins
2343,Ricki Stern
2344,Marc Du Pontavice
2345,Joshua Oppenheimer
2346,Aleksandr Chistyakov
2347,Janette Day
2348,Miky Lee
2349,Kim McCraw
2350,Tobe Hooper
2351,Vincent Gallo
2352,Lionel C. Martin
2353,Sarah Schechter
2354,Gil Junger
2355,Guy East
2356,David Baughn
2357,Michael Schaefer
2358,Michael Shamberg
2359,Ben Ketai
2360,Peter Kassovitz
2361,Jeremy Glazer
2362,Todd Arnow
2363,Jerry Juhl
2364,Mace Neufeld
2365,Guy Ritchie
2366,Sebastian Brown
2367,Alix Taylor
2368,Georgia Hilton
2369,Jianquan Shi
2370,David Jacobson
2371,Lawrence Bender
2372,Bel Berlinck
2373,Josh Gordon
2374,Hilary Carr
2375,Tom Engelman
2376,Rebecca Swanson
2377,Arthur Schnitzler
2378,Stiles White
2379,Nathan Smith Jones
2380,Christopher Roberts
2381,Carol Flint
2382,Jessica Alan
2383,Hossein Amini
2384,Tom Sherohman
2385,Kevin Williamson
2386,Jeff Stockwell
2387,Mitchell Galin
2388,Al Silliman Jr.
2389,Paul Sandberg
2390,Artie Lange
2391,Michael Urban
2392,Susan Hoffman
2393,Jeannot Szwarc
2394,Rodney Omanoff
2395,Davis Guggenheim
2396,Rachel Perkins
2397,Len Amato
2398,Andy Stock
2399,Dennis Heaton
2400,Jody Patton
2401,Robert May
2402,Jason Villard
2403,Barry Katz
2404,William Dozier
2405,John McTiernan
2406,Joe Berlinger
2407,Travis Legge
2408,Donald Petrie
2409,Gerhard Schmidt
2410,Heather McGowan
2411,Justin Thomas Ostensen
2412,Mae West
2413,Gérard Brach
2414,John Dahl
2415,Arthur Freed
2416,Robert Townsend
2417,Ralph Winter
2418,Vijay Chandar
2419,Craig Bolotin
2420,Micah Stuart
2421,Terence A. Clegg
2422,Jennifer Yuh Nelson
2423,Harald Reinl
2424,Dean Georgaris
2425,Emile Sherman
2426,Kurt Voss
2427,Roberto Malerba
2428,Alex Siskin
2429,Jon Shapiro
2430,Mark Canton
2431,Carr D'Angelo
2432,Jason Barrett
2433,Gitesh Pandya
2434,Jason Ludman
2435,Gregory Nava
2436,Dong Yu
2437,Viviane Vanfleteren
2438,Andrew Eaton
2439,Howard Rosenman
2440,Edoardo Petti
2441,Duncan Kenworthy
2442,David Geffen
2443,Steve Milne
2444,Catherine Owens
2445,Sheena Macdonald
2446,Mitchell Lichtenstein
2447,Giuliano Montaldo
2448,Sharon Greytak
2449,J.S. Cardone
2450,Andy Samberg
2451,Nicolas Clermont
2452,Richard Suckle
2453,Seth Yergin
2454,Jonathan English
2455,Jon Favreau
2456,Bruce McDonald
2457,Bill Curbishley
2458,Josh McLaughlin
2459,Tracy Underwood
2460,Peter Phok
